date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:08	101/101	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:28:58%20GMT	https://validacion.ministeriodeeducacion.gob.do/robots.txt		(from )
20:23:08	14947/14947	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2001:28:58%20GMT	https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/index124d.html	(from )
20:23:08	404/404	---M-Z	200	added ('OK')	text/css	etag:%223261a3307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/loading.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/loading.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:09	22761/22761	---M-Z	200	added ('OK')	text/css	etag:%22144ced307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/primaryNav.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/primaryNav.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:09	135/135	---M-Z	200	added ('OK')	text/css	etag:%22819958317258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/style.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/style.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:09	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22b9c8c43a7258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/img/favicon/favicon.ico	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/favicon/favicon.ico	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:09	117309/117309	---M-Z	200	added ('OK')	text/css	etag:%22373a6e377258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:10	19967/19967	---M-Z	200	added ('OK')	text/css	etag:%221c2311377258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap-theme.min.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap-theme.min.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:10	417/417	---M-Z	200	added ('OK')	text/css	etag:%22f44f14307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/certificado.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/certificado.css	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:10	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2004%20Jan%202024%2003:25:14%20GMT	https://validacion.ministeriodeeducacion.gob.do/WebResource.axd?d=CQQxqj1-aoSz6dMrzS0pfrAvnQyydkk2YzTlwlpXuLIUVwPF3NChCMEXpeQ0319GdhnjCT1YEdcklThGT3lUhiRJH4HC1OUEDmfgQto2ydA1&t=638399355142847209	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/WebResourcea329.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:10	26951/26951	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2004%20Jan%202024%2003:25:14%20GMT	https://validacion.ministeriodeeducacion.gob.do/WebResource.axd?d=6DkrXd0hfjOddTGzXBfwLMhmcq3FVs-zJLqaQmmijX_5BxoDn4SV1HMn-UHl-Eu5VQpHAWoHDzV5UmFz66rDtBtvrEZGUTJcAolu36Py9a1M7wn5_c6r42IKCET_hdBZ0&t=638399355142847209	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/WebResourcee2e9.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:10	277414/277414	---MCZ	200	added ('OK')	application/x-javascript	etag:%2291f6af357258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Scripts/jquery-3.1.1.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Scripts/jquery-3.1.1.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:11	35957/35957	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ccf116397258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/js/bootstrap.min.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/js/bootstrap.min.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:11	56209/56209	---M-Z	200	added ('OK')	application/x-javascript	etag:%227ba6df357258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Scripts/jquery-barcode.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Scripts/jquery-barcode.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:11	11884/11884	---M-Z	200	added ('OK')	application/x-javascript	etag:%22df4c367258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Scripts/root.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Scripts/root.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:11	0/0	---MCZ	302	error ('Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:01%20GMT	https://validacion.ministeriodeeducacion.gob.do/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:12	7800/7800	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20Mar%202024%2001:29:01%20GMT	https://validacion.ministeriodeeducacion.gob.do/cdn-cgi/challenge-platform/h/b/scripts/jsd/aeb70db32f0f/main.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/cdn-cgi/challenge-platform/h/b/scripts/jsd/aeb70db32f0f/main.js	(from https://validacion.ministeriodeeducacion.gob.do/?Token=94D7144E5596)
20:23:12	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:02%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/loadingGif.gif	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/loadingGif.gif	(from https://validacion.ministeriodeeducacion.gob.do/Content/loading.css)
20:23:12	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:02%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/edificio-educacion.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/edificio-educacion.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/primaryNav.css)
20:23:13	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:03%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/ministro.jpeg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/ministro.jpeg	(from https://validacion.ministeriodeeducacion.gob.do/Content/primaryNav.css)
20:23:13	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:03%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/servicios.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/servicios.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/primaryNav.css)
20:23:13	14959/14959	---M-Z	200	added ('OK')	text/css	etag:%226f7478307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/grid.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/grid.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:13	6186/6186	---M-Z	200	added ('OK')	text/css	etag:%22ccdcc02f7258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/base.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/base.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:13	7962/7962	---M-Z	200	added ('OK')	text/css	etag:%222b11d3307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/normalize.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/normalize.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:14	12456/12456	---M-Z	200	added ('OK')	text/css	etag:%22c3ff43307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/fonts.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/fonts.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:14	106800/106800	---M-Z	200	added ('OK')	text/css	etag:%22393737317258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/root.min.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:14	36957/36957	---M-Z	200	added ('OK')	text/css	etag:%227875b6307258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Content/media.css	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Content/media.css	(from https://validacion.ministeriodeeducacion.gob.do/Content/style.css)
20:23:15	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22c8ad10387258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
20:23:15	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22c8ad10387258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
20:23:15	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:05%20GMT	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.woff2	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
20:23:15	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:05%20GMT	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
